t,o,h,l,c,v
1763160300000.0,3174.2,3180.51,3148.51,3158.86,2743.9692
1763161200000.0,3158.86,3158.86,3090.0,3121.71,12016.5693
1763162100000.0,3121.71,3127.33,3096.65,3107.0,3448.3327
1763163000000.0,3107.0,3122.97,3098.82,3120.65,3998.1702
1763163900000.0,3120.66,3133.29,3102.18,3112.4,5453.7166
1763164800000.0,3112.4,3146.83,3110.68,3143.58,5275.2846
1763165700000.0,3143.59,3150.94,3134.22,3144.8,5734.9828
1763166600000.0,3144.79,3145.33,3119.04,3135.12,4934.0234
1763167500000.0,3135.13,3142.53,3118.01,3141.26,4451.829
1763168400000.0,3141.26,3149.51,3124.61,3146.88,3624.7406
1763169300000.0,3146.88,3154.75,3142.53,3147.5,2188.7026
1763170200000.0,3147.49,3163.05,3147.49,3161.27,2547.864
1763171100000.0,3161.26,3179.02,3158.87,3173.54,4923.8879
1763172000000.0,3173.54,3173.54,3165.4,3167.17,1801.8312
1763172900000.0,3167.17,3177.4,3162.98,3176.67,3778.894
1763173800000.0,3176.64,3189.7,3169.44,3188.41,5087.3855
1763174700000.0,3188.41,3193.74,3181.59,3193.31,3801.2173
1763175600000.0,3193.31,3194.0,3184.01,3187.79,4034.638
1763176500000.0,3187.78,3192.98,3183.76,3184.64,3234.2133
1763177400000.0,3184.64,3185.39,3167.54,3176.74,5433.3096
1763178300000.0,3176.75,3180.0,3174.22,3179.16,1435.5793
1763179200000.0,3179.17,3183.83,3173.72,3181.64,1663.7
1763180100000.0,3181.65,3191.65,3172.33,3172.84,2351.0727
1763181000000.0,3172.84,3173.67,3163.0,3163.0,2901.0864
1763181900000.0,3163.0,3175.65,3159.03,3171.99,2681.9262
1763182800000.0,3172.0,3176.44,3161.35,3162.88,2141.8991
1763183700000.0,3162.89,3176.98,3162.87,3170.23,2943.7586
1763184600000.0,3170.24,3176.0,3168.54,3175.17,3882.4659
1763185500000.0,3175.17,3183.36,3173.5,3178.49,2831.0944
1763186400000.0,3178.5,3182.44,3176.0,3180.86,1260.8633
1763187300000.0,3180.86,3184.48,3178.0,3178.93,1268.4852
1763188200000.0,3178.94,3187.93,3168.19,3170.55,2214.6588
1763189100000.0,3170.55,3181.44,3166.54,3175.53,1704.3426
1763190000000.0,3175.53,3183.35,3170.34,3182.4,1166.1409
1763190900000.0,3182.4,3185.39,3175.72,3182.04,1091.3085
1763191800000.0,3182.05,3182.42,3172.53,3173.34,1587.9798
1763192700000.0,3173.35,3177.26,3169.02,3176.55,1783.2983
1763193600000.0,3176.56,3177.98,3163.55,3166.47,1950.6998
1763194500000.0,3166.47,3167.22,3151.09,3158.31,3879.4341
1763195400000.0,3158.31,3167.65,3148.01,3148.91,3184.3654
1763196300000.0,3148.91,3151.36,3134.23,3143.5,4709.4891
1763197200000.0,3143.49,3159.99,3138.88,3159.98,3840.4932
1763198100000.0,3159.97,3165.51,3154.0,3159.59,2546.3875
1763199000000.0,3159.6,3164.35,3153.25,3161.7,2880.0009
1763199900000.0,3161.69,3161.69,3144.04,3152.99,2307.3954
1763200800000.0,3152.99,3153.26,3145.33,3151.63,2622.482
1763201700000.0,3151.64,3160.88,3146.56,3158.81,1547.0472
1763202600000.0,3158.82,3169.24,3155.02,3168.17,1970.8096
1763203500000.0,3168.18,3171.52,3165.28,3169.0,1252.3825
1763204400000.0,3169.0,3172.19,3160.91,3165.41,2083.1925
1763205300000.0,3165.4,3166.69,3158.73,3165.73,1116.9723
1763206200000.0,3165.73,3166.69,3157.88,3159.15,1342.5847
1763207100000.0,3159.14,3159.14,3146.66,3152.52,1966.7528
1763208000000.0,3152.52,3159.47,3147.37,3159.11,1184.8386
1763208900000.0,3159.1,3168.0,3155.0,3165.13,1875.6937
1763209800000.0,3165.13,3167.39,3155.42,3157.11,2026.9811
1763210700000.0,3157.1,3164.27,3154.46,3162.27,1517.3324
1763211600000.0,3162.27,3171.78,3159.1,3167.45,2745.6819
1763212500000.0,3167.45,3181.88,3166.61,3178.34,4195.3123
1763213400000.0,3178.34,3183.97,3173.83,3177.56,3120.8419
1763214300000.0,3177.56,3197.37,3172.13,3192.78,13611.991
1763215200000.0,3192.77,3193.1,3185.74,3190.9,2823.4369
1763216100000.0,3190.9,3192.99,3177.2,3180.73,2100.3736
1763217000000.0,3180.73,3185.74,3175.6,3180.36,2734.31
1763217900000.0,3180.36,3180.96,3174.75,3177.96,1513.1649
1763218800000.0,3177.96,3185.38,3173.72,3183.9,1575.3123
1763219700000.0,3183.9,3188.0,3175.52,3185.54,2308.8125
1763220600000.0,3185.54,3185.88,3175.85,3181.0,2019.882
1763221500000.0,3181.01,3191.25,3181.0,3186.05,2585.6638
1763222400000.0,3186.05,3187.8,3162.78,3174.54,5187.7248
1763223300000.0,3174.55,3179.21,3166.11,3170.16,3735.5835
1763224200000.0,3170.15,3182.48,3167.56,3179.92,3239.5889
